date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,9,home,3300,3700,2:1,6,FS,played,0,0,0,06/06/26 | FS | club:3300 | opponent:3700 | 2:1 | played | 45',False,False,True,45.0,True,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
31/03/26,8,away,3300,3505,2:0,6,FS,played,0,0,0,31/03/26 | FS | club:3300 | opponent:3505 | 2:0 | played | 45',False,False,True,45.0,True,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
29/03/26,7,away,3300,6303,0:0,6,FS,played,0,0,0,29/03/26 | FS | club:3300 | opponent:6303 | 0:0 | played | 45',False,False,True,45.0,True,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
16/11/25,10,home,3300,6219,9:1,,WMQ6,not in squad,0,0,0,16/11/25 | WMQ6 | club:3300 | opponent:6219 | 9:1 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
13/11/25,9,away,3300,3509,0:2,,WMQ6,not in squad,0,0,0,13/11/25 | WMQ6 | club:3300 | opponent:3509 | 0:2 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
14/10/25,8,home,3300,3468,2:2,,WMQ6,not in squad,0,0,0,14/10/25 | WMQ6 | club:3300 | opponent:3468 | 2:2 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
11/10/25,7,home,3300,3509,1:0,,WMQ6,not in squad,0,0,0,11/10/25 | WMQ6 | club:3300 | opponent:3509 | 1:0 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
09/09/25,6,away,3300,3468,3:2,,WMQ6,not in squad,0,0,0,09/09/25 | WMQ6 | club:3300 | opponent:3468 | 3:2 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
06/09/25,5,away,3300,6219,5:0,,WMQ6,not in squad,0,0,0,06/09/25 | WMQ6 | club:3300 | opponent:6219 | 5:0 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
08/06/25,5,away,3300,3375,7:5,,UNFI,not in squad,0,0,0,08/06/25 | UNFI | club:3300 | opponent:3375 | 7:5 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
04/06/25,3,away,3300,3262,2:1,,UNFI,not in squad,0,0,0,04/06/25 | UNFI | club:3300 | opponent:3262 | 2:1 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
23/03/25,2,home,3300,3436,5:2,,UNFI,not in squad,0,0,0,23/03/25 | UNFI | club:3300 | opponent:3436 | 5:2 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
20/03/25,1,away,3300,3436,0:1,,UNFI,not in squad,0,0,0,20/03/25 | UNFI | club:3300 | opponent:3436 | 0:1 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
18/11/24,6,away,3300,3556,1:1,,UNLA,in squad,0,0,0,18/11/24 | UNLA | club:3300 | opponent:3556 | 1:1 | in squad,False,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
15/11/24,5,home,3300,3442,5:1,6,UNLA,played,0,0,0,15/11/24 | UNLA | club:3300 | opponent:3442 | 5:1 | played | 13',False,False,True,13.0,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
15/10/24,4,away,3300,3380,0:0,,UNLA,not in squad,0,0,0,15/10/24 | UNLA | club:3300 | opponent:3380 | 0:0 | not in squad,True,False,False,,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
12/10/24,3,away,3300,3442,3:1,6,UNLA,played,0,0,0,12/10/24 | UNLA | club:3300 | opponent:3442 | 3:1 | played | 1',False,False,True,1.0,False,samu_costa__por,Samu Costa,POR,MID,657430,https://www.transfermarkt.de/samu-costa/nationalmannschaft/spieler/657430/verein_id/3300
